1	0	10025
2	10025	18608
3	28633	11780
4	40413	12152
5	52565	9372
6	61937	8841
7	70778	7146
8	77924	13988
9	91912	16547
10	108459	14694
11	123153	14200
15	137353	17980
16	155333	4806
17	160139	8192
18	168331	10034
19	178365	1299
20	179664	7506
21	187170	16472
22	203642	6766
23	210408	8751
24	219159	5354
25	224513	2684
26	227197	1428
27	228625	3826
28	232451	3717
29	236168	1495
30	237663	9732
31	247395	12148
32	259543	8343
33	267886	3521
34	271407	4868
35	276275	2086
36	278361	2831
38	281192	24374
39	305566	2008
40	307574	2942
41	310516	1148
43	311664	17661
45	329325	3831
46	333156	5007
47	338163	8048
48	346211	4643
49	350854	3496
50	354350	3933
51	358283	5044
52	363327	2247
53	365574	1885
54	367459	2501
55	369960	4301
56	374261	3295
57	377556	3167
58	380723	4246
59	384969	2806
60	387775	8381
61	396156	5951
62	402107	8263
63	410370	26664
64	437034	12003
65	449037	15357
66	464394	40210
67	504604	32903
68	537507	4946
69	542453	15284
70	557737	23274
71	581011	248
72	581259	248
73	581507	278
74	581785	237
76	582022	230
77	582252	239
78	582491	221
79	582712	228
80	582940	242
81	583182	254
83	583436	215
84	583651	272
85	583923	236
89	584159	263
90	584422	266
91	584688	3618
92	588306	2560
93	590866	5100
94	595966	3699
95	599665	3789
97	603454	3706
98	607160	3285
99	610445	4536
100	614981	2809
101	617790	16353
102	634143	5331
103	639474	2307
104	641781	4280
105	646061	8600
106	654661	12563
107	667224	3003
108	670227	9137
109	679364	4454
110	683818	12613
111	696431	10186
112	706617	5416
113	712033	1955
114	713988	6970
115	720958	6437
116	727395	3941
117	731336	7840
118	739176	14081
119	753257	4548
120	757805	5636
121	763441	2121
122	765562	4164
123	769726	3893
124	773619	2855
125	776474	3126
126	779600	9384
127	788984	4565
128	793549	2881
129	796430	2377
130	798807	9633
131	808440	4697
132	813137	6058
133	819195	7129
134	826324	5263
135	831587	3590
136	835177	3727
137	838904	17359
138	856263	2393
139	858656	4424
140	863080	5851
141	868931	2491
142	871422	6471
143	877893	3572
144	881465	4914
145	886379	16100
146	902479	2569
147	905048	3201
148	908249	5181
149	913430	8953
150	922383	7043
151	929426	8779
152	938205	21614
153	959819	17847
154	977666	5377
155	983043	5079
156	988122	3952
157	992074	7025
158	999099	5856
159	1004955	2691
160	1007646	5036
161	1012682	10046
162	1022728	4486
163	1027214	4630
164	1031844	8053
165	1039897	5594
166	1045491	2394
167	1047885	4457
168	1052342	8175
169	1060517	3919
170	1064436	11529
171	1075965	8876
172	1084841	3937
173	1088778	1897
174	1090675	3980
175	1094655	4392
176	1099047	3481
177	1102528	5493
178	1108021	15790
179	1123811	31763
180	1155574	11792
181	1167366	2812
182	1170178	3531
